id,name,origin,height,weight,life_span,temperament,health
48,Standard Schnauzer,Germany,"17.5-19.5""",35-45 lb, 12–14 years,"Bold and lively, the Standard Schnauzer is a fun-loving companion. They can be clever and headstrong, and unless given daily physical and mental exercise, they can be mischievous. They do best when shown patience and structure. They are a devoted family dog and can be very reliable with children. They are often good with family pets, but they can be assertive with strange dogs, animals, or small pets. They are typically reserved with strangers, sometimes acting suspicious.","|Major concerns: none|Minor concerns: CHD, follicular dermatitis|Occasionally seen: cataract|Suggested tests: hip, eye|Life span: 12–14 years"
49,Scotch Terrier,Scotland,"10""",18-22 lb, 11–13 years,"Nicknamed The Diehard in reference to their rugged character, the Scottish Terrier is a tough, smart, determined character, ready for action. They are often fearless and feisty and may be assertive toward other dogs and animals, if not properly socialized and introduced. They can be reserved, but friendly, with strangers, and devoted to their family. Although independent and stubborn, they are often sensitive. Left alone, they tend to dig and bark.","|Major concerns: vWD, CMO|Minor concerns: Scotty cramp, cerebellar abiotrophy, patellar luxation|Occasionally seen: bladder cancer|Suggested tests: DNA for vWD, knee|Life span: 11–13 years"
50,Tibetan Terrier,Tibet,"15-16""",18-24 lb, 12–15 years,"Gentle and amiable, the Tibetan Terrier makes a charming, dependable member of the household. They are equally up for an adventure in the yard or a snooze in the house. They can be sensitive, a wonderful companion and willing to please.","|Major concerns: lens luxation, PRA|Minor concerns: patellar luxation, cataract, CHD, ceroid lipofuscinosis, hypothyroidism|Occasionally seen: distichiasis, deafness|Suggested tests: eye, hip, hearing, DNA for lens luxation, DNA for lipofuscinosis|Life span: 12–15 years"
51,Silky Terrier,Australia,"9-10""",8-11 lb, 11–14 years,"The Silky Terrier is no mellow lapdog. They are often bold, feisty, inquisitive, and playful, ever ready for action—a terrier at heart. They can be assertive toward other dogs or pets. They are often clever, but can tend to be stubborn, and can be mischievous. They tend to bark a lot.","|Major concerns: none|Minor concerns: patellar luxation, Legg–Perthes|Occasionally seen: diabetes, epilepsy, tracheal collapse, allergies, Cushing’s|Suggested tests: knee, eye|Life span: 11–14 years"
52,Soft-Coated Wheaten Terrier,Ireland,"17.19""",30-40 lb, 12–14 years,"The Wheaten Terrier is a playful companion. They are often affectionate, congenial, and much gentler than most terriers. They are generally responsive to their family but can be headstrong at times. They are generally good and patient with children (although some may be overly boisterous with small children) and usually very friendly with other household dogs and pets. They may dig or jump. They can be one of the quietest terriers, barking only for real alarms.","|Major concerns: protein losing diseases (PLE and PLN)|Minor concerns: renal dysplasia, Addison’s|Occasionally seen: PRA, CHD|Suggested tests: blood and urine protein screens, eye, hip|Life span: 12–14 years"
53,West Highland White Terrier,Scotland,"10-11""",15-21 lb, 12–14 years,"The busy Westie is often happy, curious, and always in the thick of things. They can be affectionate and demanding, one of the friendliest terriers. They are not friendly, however, toward small pets. They enjoy a daily walk or playtime in the yard, as well as playtime at home. They are independent and somewhat stubborn. They can be vocal and can dig.","|Major concerns: globoid cell leukodystrophy, Legg–Perthes, CMO, skin disease|Minor concerns: copper toxicosis, cataract, patellar luxation, KCS|Occasionally seen: deafness|Suggested tests: hip, knee, eye|Life span: 12–14 years"
54,Lhasa,Tibet,"10-11""",13-15 lb, 12–14 years,"Despite its lapdog appearance, the Lhasa is a tough character. The breed is independent, stubborn, and bold. Although eager for a romp or game, this dog will be happy as long as given exercise. The Lhasa will also happily nap beside his or her owner. These characteristics make the Lhasa an excellent small companion in adventure. Although somewhat reserved with strangers, the Lhasa is not an excessive barker.","|Major concerns: patellar luxation|Minor concerns: entropion, distichiasis, PRA, renal cortical hypoplasia|Occasionally seen: CHD, urinary stones, vWD, sebaceous adenitis|Suggested tests: knee, eye|Life span: 12–14 years"
55,Flat-Coated Retriever,England,"22-24.5""",60-70 lb, 8 years,"The Flat-Coated Retriever is a sweet, exuberant, lively dog that loves to play and retrieve. They are on the go outdoors, but quiet indoors. This breed is among the most devoted and companionable of dogs, a true family dog. They need regular exercise to be on their best behavior, however. They are a sensitive breed and very responsive to training. Their hallmark is their wagging tail.","|Major concerns: malignant histiocytosis|Minor concerns: CHD, glaucoma, patellar luxation, hemangiosarcoma, osteosarcoma, lymphosarcoma, gastric torsion, fibrosarcoma|Occasionally seen: seizures, diabetes|Suggested tests: eye, hip, knee|Life span: 8 years"
56,Curly-Coated Retriever,England,"23-27""",60-70 lb, 8–12 years,"The Curly-Coated Retriever is an eager and tireless land and, especially, water retriever outdoors, but a calm companion indoors. He is sensitive and gentle, very good with children, and responsive to commands. He is reserved with strangers. One of the most courageous of the retrievers, he is nonetheless quite sensitive. He makes an ideal partner for an active, outdoor-oriented person who also wants a loyal family companion.","|Major concerns: CHD|Minor concerns: none|Occasionally seen: distichiasis, cataract, elbow dysplasia|Suggested tests: hip, cardiac, eye, (elbow)|Life span: 8–12 years"
57,Golden Retriever,England,"21.5-24""",55-75 lb,10–12 years,"Everybody’s friend, the Golden Retrievers are known for their devoted and obedient nature as a family companion. This dog is an apt sporting retriever as well and yearns for a day in the field.","|CHD|Skin problems (allergies, hot spots, ear infections)|Hemangiosarcoma|Lymphoma"
58,Labrador Retriever,Canada,"21.5-24.5""",55-80 lb, 10–12 years,"Few breeds so richly deserve their popularity as does the Labrador Retriever. When trained, the breed is obedient and amiable, and tolerates the antics of children, other dogs, and other pets. The Lab is a calm house dog, playful yard dog, and intense field dog, all on the same day. Labs are eager to please, enjoyslearning, and excel in obedience. It is a powerful breed that loves to swim and retrieve. Labradors needs daily physical and mental challenges to keep occupied. A bored Lab can get into trouble! The Labrador’s hunting instinct can drive a dog to roam, so training and a safe yard are needed.","|Major concerns: CHD, elbow dysplasia, OCD, obesity, patellar luxation|Minor concerns: cataract, CPRA, hot spots, retinal dysplasia, hypothyroidism|Occasionally seen: diabetes, entropion, distichiasis, tricuspid valve dysplasia, centronuclear myopathy, exerciseinduced collapse|Suggested tests: hip, elbow, eye, exercise-induced collapse (DNA), (centronuclear myopathy), (knee)|Life span: 10–12 years"
59,Chesapeake Bay Retriever,United States,"21-26""",55-80 lb, 10–13 years,"The Chesapeake Bay Retriever is hardy enough to not only withstand, but also relish, repeated plunges into icy water. He loves to swim and retrieve. Despite an active life when outdoors, inside he tends to be calm. The Chessie tends to be independent, although he is eager to learn. He is reserved with strangers and can be protective; he also can be aggressive toward strange dogs if challenged. This is the hardiest, most strong-willed, and protective of the retriever breeds.","|Major concerns: CHD, gastric torsion|Minor concerns: PRA, hypothyroidism|Occasionally seen: entropion, OCD, elbow dysplasia, cerebellar abiotrophy|Suggested tests: hip, eye, elbow, (thyroid), (cardiac)|Life span: 10–13 years"
60,German Short-Haired Pointer,Germany,"21-25""",45-70 lb, 12–14 years,"The German Shorthaired Pointer’s idea of heaven is a day hiking in the field and an evening curled up by its owner’s side. This is an active dog that can become frustrated and “creative” if not given ample daily exercise, both mental and physical. He is a devoted family pet, although at times he may be overly boisterous for small children. Because part of their heritage includes hunting mammals, some can be assertive toward small pets unless raised with them. They are a sensitive breed, responsive to gentle training. Some can whine or bark a lot.","|Major concerns: lymphedema|Minor concerns: CHD, entropion, gastric torsion, vWD, pannus, OCD, hypothyroidism|Occasionally seen: ectropion, PRA, cardiomyopathy|Suggested tests: hip, eye, cardiac, (thyroid), (vWD)|Life span: 12–14 years"
61,Vizsla,Hungary,"21-24""",45-65 lb, 10–14 years,"The Viszla is highly energetic. They are often great hiking partners and always on the lookout for interesting scents. They can become frustrated and destructive if not given adequate exercise. Most can be stubborn, some can be timid, and others can be overly excitable. They are often gentle, affectionate, and sensitive, and can be protective. The Vizsla makes a good companion for an active owner who spends a lot of time outdoors.","|Major concerns: epilepsy|Minor concerns: CHD, lymphosarcoma|Occasionally seen: PRA, dwarfism, tricuspid valve dysplasia, persistent right aortic arch, hypothyroidism, vWD|Suggested tests: hip, thyroid, eye, (cardiac), thyroid, (vWD)|Life span: 10–14 years"
62,English Setter,England,"24-25""",50-65 lb, 10–12 years,"Bred to cover a lot of area when hunting, the English Setter is a lively dog that loves to hunt and run. This is especially true of dogs from field lines. If not given sufficient exercise, they can be overly lively inside, but with daily exertion, they are calm and tractable housedogs. Those from conformation lines are particularly laid back and gentle and excel with children and less active adults. This is an amiable, easygoing breed that typically gets along well with children, strangers, and other dogs.","|Major concerns: deafness, CHD, elbow dysplasia, hypothyroidism|Minor concerns: PRA, OCD|Occasionally seen: epilepsy|Suggested tests: hearing, hip, elbow, (eye), thyroid|Life span: 10–12 years"
63,Irish Setter,Ireland,"25-27""",60-70 lb, 12–14 years,"The Irish Setter approaches everything in life with a rollicking, good-natured attitude, full of gusto and fervor. Given a daily outlet for its energy, this breed makes a pleasant companion. Without ample exercise, an Irish Setter can be overly active inside the home, and become frustrated. This is an amiable breed, eager to please and be part of family activities. The Irish Setter is good with children, but can be perhaps be too rambunctious for toddlers.","|Major concerns: PRA, CHD, gastric torsion|Minor concerns: megaesophagus, panosteitis, HOD, osteosarcoma, hypothyroidism|Occasionally seen: OCD, epilepsy, hemophilia A, canine leukocyte adhesion deficiency (CLAD)|Suggested tests: DNA for PRA, hip, thyroid|Life span: 12–14 years|Note: With the advent of DNA testing for PRA, this problem should no longer be a concern if both parents have been tested."
64,Gordon Setter,Great Britain (Scotland),"23-27""",45-80 lb, 10–12 years,"The Gordon Setter is a capable, close-working bird dog. He can run all day, and this kind of energy needs a regular outlet or the dog is apt to become frustrated. Gordons make lively, enthusiastic companions, and need the company of lively people. Somewhat more protective than the other setters, he is reserved toward strangers and sometimes aggressive toward strange dogs. He generally gets along well with other family pets. The Gordon has earned its reputation as a devoted family dog.","|Major concerns: CHD, gastric torsion|Minor concerns: PRA, elbow dysplasia, cerebellar abiotrophy, hypothyroidism|Occasionally seen: none|Suggested tests: hip, elbow, eye, DNA for PRA|Life span: 10–12 years"
65,Brittany Spaniel,France,"17.5-20.5""",30-40 lb, 12–13 years,"The Brittany is quick and curious, always on the lookout for birds or fun. These dogs love to run, scout, hunt, and play. They have an independent nature, befitting any pointing breed, yet are sensitive and very responsive to human direction. Brittanys make good pets as long as they receive daily mental and physical exercise. If not given sufficient exercise, they can become destructive.","|Major concerns: CHD|Minor concerns: epilepsy, hypothyroidism|Occasionally seen: lens luxation, PRA|Suggested tests: hip, thyroid, (eye)|Life span: 12–13 years"
66,Clumber,England,"17-20""",55-85 lb, 10–12 years,"At home he tends to be low-key, quiet and may even need to be goaded into exercise. He is one of the few sporting breeds suitable for city life, although he will relish walks and outings. The Clumber makes a good pet, especially devoted to one person.","|Major concerns: CHD, intervertebral disk disease|Minor concerns: ectropion, entropion, otitis externa, PDP1, elbow dysplasia|Occasionally seen: seizures|Suggested tests: hip, eye, elbow, PDP1|Life span: 10–12 years"
67,English Springer,England,"18-21""",40-50 lb, 10–14 years,"The English Springer Spaniel is cheerful, playful, and energetic, ready for a day in the field and an evening by the hearth. He does everything with gusto and may be overly enthusiastic unless given plenty of exercise. The typical Springer is the ideal family companion.","|Major concerns: otitis externa, CHD, elbow dysplasi|Minor concerns: phosphofructokinase deficiency, PRA, retinal dysplasia|Occasionally seen: entropion, rage syndrome, seizures, gastric torsion, patellar luxation, fucosidosis|Suggested tests: hip, elbow, eye, knee, (DNA for phosphofructokinase deficiency), DNA for PRA|Life span: 10–14 years"
68,Welsh Springer Spaniel,Wales,"17-19""",35-50 lb, 12–15 years,"Less exuberant that the English Springer Spaniel, the Welsh Springer Spaniel is often steady and easygoing. They still need plenty of vigorous exercise, however, as they love outdoor activities, such as hiking.  They are often extremely devoted to their family, but they can also be independent in nature. They are reserved with strangers; some may even be timid. A sensitive breed, they require ample socialization.","|Major concerns: CHD|Minor concerns: glaucoma, otitis externa, epilepsy|Occasionally seen: cataract, hypothyroidism, elbow dysplasia|Suggested tests: hip, eye, thyroid, elbow|Life span: 12–15 years"
69,Cocker Spaniel,United States,"13.5-15.5""",24-28 lb, 12–15 years,"This breed is known as the “merry” Cocker, and the name is most fitting. He is playful, cheerful, amiable, sweet, sensitive, willing to please, and responsive to his family’s wishes. He is not known for retaining his hunting instincts, but he is inquisitive and will appreciate a country outing. He is equally at home in the city and will happily walk on leash for his exercise needs. Some bark a lot; some are overly submissive.","|Major concerns: cataract, glaucoma, PRA|Minor concerns: CHD, ectropion, patellar luxation, entropion, allergies, seborrhea, otitis externa, liver disease, CHF, phosphofructokinase deficiency, urinary stones, cherry eye, cardiomyopathy, hypothyroidism|Occasionally seen: gastric torsion, elbow dysplasia, epilepsy|Suggested tests: eye, (knee), hip, (thyroid), DNA for phosphofructokinase deficiency|Life span: 12–15 years"
70,Sussex Spaniel,England,"13-15""",35-45 lb, 11–13 years,"The Sussex Spaniel is more laid back than other spaniels. This makes them well suited for city life, but they still appreciate and need daily exercise. They may be noisier than other spaniels. If left alone while other activities are ongoing, they may feel left out and bark or howl. They are usually calm, steady, and easygoing members of the household. Their somber expression is misleading because  they are often quite cheerful.","|Major concerns: CHD, intervertebral disk disease|Minor concerns: otitis externa, heart murmurs, enlarged heart|Occasionally seen: PDP1|Suggested tests: hip, cardiac, (PDP1)|Life span: 11–13 years"
71,Irish Water Spaniel,Ireland,"21-24""",45-65 lb, 10–12 years,"The Irish Water Spaniel goes at everything in life with gusto and enthusiasm. This dog loves to swim, run, hike, and play and needs a lot of exercise. A clown at heart, it can be independent, and needs to be trained with patience, firmness, and a sense of humor. The Irish Water Spaniel tends to be reserved with strangers, is sometimes timid, but is generally good with children.","|Major concerns: CHD, otitis externa|Minor concerns: distichiasis|Occasionally seen: megaesophagus, hypothyroidism, elbow dysplasia, seizures, nail-bed disease|Suggested tests: hip, elbow, eye, thyroid|Life span: 10–12 years|Note: May have adverse reactions to sulfa drugs or ivermectin"
72,Kuvasz,Hungary,"26-30""",70-115 lb, 9–12 years,"Despite the gentle appearance, the Kuvasz is a tough protector, fearlessly defending family and home. The breed is gentle with and protective of children in its own family, but may misinterpret a child’s rough and tumble games with other children, and should be responsibly monitored, like all dogs.  The breed is reserved with strangers and may be aggressive toward strange dogs, or domineering, however, they tend to be very gentle with other pets and livestock. The Kuvasz is devoted and loyal but not very demonstrative.","|Major concerns: CHD, OCD|Minor concerns: hypothyroidism|Occasionally seen: panosteitis, HOD|Suggested tests: hip, elbow, thyroid|Life span: 9–12 years"
73,Schipperke,Belgium,"10-13""",10-16 lb, 13–15 years,"The Schipperke can be a bold companion, even though they can sometimes be independent and headstrong. This little dynamo is happiest when busy, poking his nose into every cranny and ever on the lookout for adventure. They are often reserved with strangers and an alert watchdog in the home, detecting strangers or visitors and barking in response. They can make an amiable and pleasant member of the household but needs daily exercise.","|Major concerns: MPS IIIB|Minor concerns: Legg-Perthes, epilepsy, hypothyroidism|Occasionally seen: entropion, distichiasis, PRA, CHD|Suggested tests: thyroid, DNA for MP IIIB, knee|Life span: 13–15 years"
74,Groenendael,Belgium,"22-26""",40-75 lb, 10–12 years,"Ever watchful and on the move, the Belgian Sheepdog glides in large circles. They are playful, alert, watchful, protective, independent, and intense dogs. They are aloof with strangers and should be introduced carefully to other dogs and household pets. Some can be domineering. They are intelligent and biddable, but independent. They are protective of their home and family.","|Major concerns: none|Minor concerns: seizures, skin disorders, allergies, hypothyroidism|Occasionally seen: CHD, PRA, pannus, elbow dysplasia, hemangiosarcoma|Suggested tests: hip, elbow, eye|Life span: 10–12 years"
75,Malinois,Belgium,"22-26""",60-65 lb, 10–12 years,"Intense best describes the Belgian Malinois. This is a high-energy breed with a need for regular mental and physical stimulation. These dogs are alert, smart, and serious. They can be aloof with strangers and should be introduced to other dogs and animals carefully. Some can be domineering. When confined, they often run in sweeping circles in an effort to stay on the move. They are protective of their home and family.","|Major concerns: none|Minor concerns: CHD, elbow dysplasia|Occasionally seen: PRA, cataract, pannus, hemangiosarcoma|Suggested tests: hip, elbow, eye|Life span: 10–12 years"
76,Briard,France,"22-27""",50-100 lb, 10–12 years,"Devoted and faithful, the Briard is a loving and protective companion. Briards are independent, intelligent, and self-assured, but are also willing to please and eager to serve as a partner in adventure. They are reserved with strangers. They can be assertive with other dogs and may nip at people’s heels when playing. They tend to stay at home and may attempt to keep the family’s children home as well! Young Briards need a lot of socialization.","|Major concerns: gastric torsion, CHD|Minor concerns: nightblindness|Occasionally seen: PRA, heart problems|Suggested tests: hip, eye, (cardiac), DNA for night blindness|Life span: 10–12 years"
77,Kelpie,Australia,"18 to 20 inches (male), 17 to 19 inches (female)",31 to 46 pounds,12–15 years,"Alert, intelligent and loyal, the Australian Kelpie is an agile and active dog with boundless energy. He thrives on having a job to do, but also knows when to give it a rest, thanks to his on-and-off switch. Wholly devoted to his work, the Australian Kelpie is keen on working sheep and other livestock, yet his docile, friendly and easygoing temperament also positions him as a suitable house dog. A naturally cautious herding breed, the Australian Kelpie is a good watch dog, provided he receives plenty of socialization and training so that he doesn’t become wary or anyone or anything else.",Major Concerns: N/A
78,Komondor,Hungary,"25.5-27.5""",70-80 lb, 10–12 years,"Bred as an independent protector of livestock, the Komondor is true to its heritage. This dog is an independent thinker and can be stubborn or domineering, requiring an understanding and dog-skilled guardian. Socialization is essential. The breed is reserved with strangers and possibly aggressive toward strange dogs. The Komondor is good with other familiar pets and livestock. In fact, this dog is happiest when there is something or someone to watch over. Although usually calm and quiet, the breed is utterly fearless when the need arises. As a natural guardian, the dog is protective of children in its own family, but may at times misunderstand rough and tumble games of visiting children and, as with all dogs, should be responsibly monitored.","|Major concerns: CHD, gastric torsion|Minor concerns: otitis externa, hot spots|Occasionally seen: entropion|Suggested tests: hip, eye|Life span: 10–12 years"
79,Old English Sheepdog,England,"21-22""",60-90 lb, 10–12 years,"The amiable Old English is jolly but gentle. At home, the dog is a well-mannered house pet that often amuses the family with comical antics. The breed thrives on human companionship and is very much a homebody. Extremely devoted to the family and protective of family members, this dog will tend to children as flock members, and is generally friendly toward strangers. Some can be headstrong.","|Major concerns: CHD|Minor concerns: gastric torsion, otitis externa, retinal detachment, cataract, deafness, PRA, cerebellar ataxia, hypothyroidism|Occasionally seen: none|Suggested tests: hip, eye, thyroid, (hearing)|Life span: 10–12 years"
80,Shetland Sheepdog,Scotland (Shetland Island),"13-16""",20 lb, 12–14 years,"The Shetland Sheepdog is often extremely bright, extremely sensitive, and extremely willing to please. This combination makes for a dog that can be very amenable, quick to learn, and devoted to their family. They are not only gentle, playful, amiable, and companionable, but also can usually get along well with children, although they may nip at heels in play. They can be reserved and often timid toward strangers. They tend to bark a lot.","|Major concerns: dermatomyositis|Minor concerns: CEA, PRA, trichiasis, cataract, CHD, hemophilia, hypothyroidism, Legg-Perthes, patellar luxation, allergies|Occasionally seen: PDA, deafness, epilepsy|Suggested tests: eye, hip|Life span: 12–14 years|Note: May be sensitive to ivermectin"
81,Collie,Scotland,"22-26""",50-75 lb, 8–12 years,"The Collie is gentle and devoted, a mild-mannered friend to all. He is a dog with a working heritage, and he needs daily mental and physical exercise or he can become frustrated. He is sensitive, intelligent, and willing to please, although he is sometimes a bit stubborn. He can nip at heels in play. Some may bark a lot.","|Major concerns: none|Minor concerns: CEA, PRA, gastric torsion, dermatomyositis, demodicosis|Occasionally seen: seizures, microphthalmia, CHD, cyclic neutropenia|Suggested tests: eye, (DNA for CEA), DNA for PRA, DNA for drug sensitivity|Life span: 8–12 years|Note: Often sensitive to ivermectin. Homozygous merles may have visual or hearing problems."
82,Border Collie,Great Britain,"18-23""",30-45 lb, 10–14 years,"The Border Collie is a bundle of mental and physical energy awaiting a chance to be unleashed on the world. Among the most intelligent and obedient of breeds, the BC is nonetheless a disastrous family member if not given a challenging job every day. Given sufficient exercise, they are dependable and loyal companions. They are intent on whatever they do and tend to stare, which can be unnerving to other animals. They also like to chase other animals. They are reserved, even protective, toward strangers. Without a job, BCs can be destructive and can develop harmful, compulsive habits.","|Major concerns: CHD|Minor concerns: PRA, lens luxation, CEA, PDA, OCD, deafness, seizures, hypothyroidism|Occasionally seen: cerebellar abiotrophy, ceroid lipofuscinosis, compulsive behavior|Suggested tests: hip, eye, (thyroid), (DNA for CEA)|Life span: 10–14 years"
83,Bouvier Des Flandres,Belgium,"23.5-27.5""",69-90 lb, 10–12 years,"The Bouvier is loyal, devoted, fearless, and protective. Given daily exercise, they are calm and well-mannered indoors, but ready for an adventure in the great outdoors. They are independent and confident of their own judgment, yet willing to please. They can be domineering. They are reserved, even protective, toward strangers and should be introduced carefully to new dogs. They are very good with children, although may nip at heels in play. They are not excessive barkers or diggers.","|Major concerns: CHD, glaucoma, elbow dysplasia, SAS|Minor concerns: hypothyroidism|Occasionally seen: none|Suggested tests: hip, elbow, cardiac, (eye)|Life span: 10–12 years"
84,Rottweiler,Germany,"22-27""",80-135 lb, 8–11 years,"Confident, bold and alert, the Rottweiler can be a popular choice for households. As befitting their self-assured nature, Rottweilers can tend to be headstrong and stubborn.  They can be reserved or guarded, toward strangers. They may be overly assertive if they perceive that their family is being threatened. They are a powerful breed that needs socialization, consistent training, and daily exercise.","|Major concerns: CHD, elbow dysplasia, SAS, osteosarcoma|Minor concerns: gastric torsion, hypothyroidism, allergies|Occasionally seen: PRA, cataract, seizures, vWD, panosteitis, entropion, ectropion|Suggested tests: hip, elbow, cardiac, eye, (vWD)|Life span: 8–11 years"
85,German Shepherd,Germany,"22-26""",75-95 lb, 9–13 years,"Among the most intelligent of breeds, the German Shepherd Dog is so intent on their mission—whatever that may be— that they are virtually unsurpassed in working versatility. They are utterly devoted and faithful.",|CHD|Elbow dysplasia
86,Doberman,Germany,"24-28""",65-90 lb, 10–12 years,"The Doberman Pinscher is an intelligent capable guardian, ever on the alert and ready to protect its family or home. He is also a loyal and adventurous companion. He likes to be mentally challenged, and is a gifted obedience, agility, and Schutzhund pupil. He is sensitive, and very responsive to his owner’s wishes, though some can be domineering. He is generally reserved with strangers. It can be assertive with strange dogs.","|Major concerns: CVI (wobbler’s syndrome), cardiomyopathy|Minor concerns: vWD, demodicosis, osteosarcoma, gastric torsion, CHD|Occasionally seen: albinism, hypothyroidism, PRA, narcolepsy|Suggested tests: cardiac (Holter monitor), hip, eye, DNA for vWD, thyroid|Life span: 10–12 years|Note: Blue Dobermans sometimes have hair loss; “white” Dobermans are albinos and are light-sensitive"
87,Miniature Pinscher,Germany,"10-12.5""",8-10 lb, 12–14 years,"Among the most energetic of all breeds, the Min Pin is a perpetual motion machine. He is busy, inquisitive, playful, bold, and brash. He retains terrier-like traits and tends to be stubborn and independent. He can be scrappy with other dogs and may chase small animals. He is reserved with strangers but affectionate to his family.","|Major concerns: none|Minor concerns: Legg-Perthes, cervical (dry) disk, patellar luxation, hypothyroidism, heart defects, MPS VI|Occasionally seen: PRA|Suggested tests: knee, (hip), (eye), (DNA for MPS)|Life span: 12–14 years"
88,Greater Swiss Mountain Dog,Switzerland,"23.5-28.5""",85-140 lb, 10–12 years,"The Greater Swiss Mountain Dog is a sensitive, loyal, and extremely devoted family companion. Calm and easygoing, this breed is very gentle with children as well as other pets. However the dog is also is territorial, alert, bold, and vigilant.","|Major concerns: CHD|Minor concerns: panosteitis, shoulder OCD, distichiasis, gastric torsion, splenic torsion, seizures, female urinary incontinence|Occasionally seen: none|Suggested tests: elbow, eye, (shoulder), hip|Life span: 10–12 years"
89,Bernese Mountain Dog,Switzerland,"23-27.5""",70-120 lb, 6–9 years,"The Bernese Mountain Dog is an easygoing, calm family companion (that is, after the adolescent stage). This dog is sensitive, loyal, extremely devoted, gentle with children, and often reserved with strangers. The Bernese generally gets along well with other dogs and pets. They do not do well isolated from family activities.","|Major concerns: CHD, elbow dysplasia, mast cell tumor, gastric torsion|Minor concerns: cataract, entropion, ectropion, SAS|Occasionally seen: hypomyelination, allergies, vWD, hepatocerebellar degeneration, hypothyroidism, PRA|Suggested tests: hip, elbow, eye, cardiac, DNA for vWD|Life span: 6–9 years|Note: Extra care must be taken to avoid heat stroke."
90,Appenzeller,Switzerland,"16-21""",45-65 lb, 11–13 years,"The Entlebucher is extremely devoted and loyal, tending to stay close to their family. They learn quickly but retain an independent nature, not afraid to make their own choices—especially if they feel they have the upper hand. They are very loyal and may be protective. Their loud bark may be their biggest protective asset. They tend to be suspicious of strangers. They are generally good with other dogs and pets; however they may try to herd other pets and children. Although males particularly can be assertive toward other dogs, most are pretty mellow unless provoked.","|Major concerns: CHD|Minor concerns: PRA, ectopic ureter|Occasionally seen: cataract|Suggested tests: DNA for PRA, hip, eye|Life span: 11–13 years"
91,Entlebucher,Switzerland,"16-21""",45-65 lb, 11–13 years,"The Entlebucher is extremely devoted and loyal, tending to stay close to their family. They learn quickly but retain an independent nature, not afraid to make their own choices—especially if they feel they have the upper hand. They are very loyal and may be protective. Their loud bark may be their biggest protective asset. They tend to be suspicious of strangers. They are generally good with other dogs and pets; however they may try to herd other pets and children. Although males particularly can be assertive toward other dogs, most are pretty mellow unless provoked.","|Major concerns: CHD|Minor concerns: PRA, ectopic ureter|Occasionally seen: cataract|Suggested tests: DNA for PRA, hip, eye|Life span: 11–13 years"
92,Boxer,Germany,"21-25""",50-80 lb, 8–10 years,"The Boxer is playful, exuberant, inquisitive, attentive, demonstrative, devoted, and outgoing; this dog is a perfect companion for an active family. Boxers can be stubborn, but are sensitive and responsive to commands. They may be assertive toward strange dogs, but are generally good with other family dogs and pets.","|Major concerns: boxer cardiomyopathy, SAS, CHD|Minor concerns: gastric torsion, hypothyroidism, corneal erosion, colitis|Occasionally seen: brain tumors, degenerative myelopathy|Suggested tests: thyroid, hip, cardiac (Holter monitoring)|Life span: 8–10 years|Note: Sensitive to heat. White boxers may be deaf. The drug acepromazine can cause severe reactions."
93,Bull Mastiff,England,"24-27""",110-130 lb, 8–10 years,"The Bullmastiff is gentle and quiet, a devoted companion and guardian. This dog is not easily roused, but once threatened it is fearless. Bullmastiffs are stubborn and cannot easily be goaded into action against their will. Some can be assertive towards new dogs, and should be introduced carefully. Males especially tend to not tolerate other males. They are good with children, but should be raised with them. The Bullmastiff needs a firm but loving home. This breed is not for fragile or timid owners.","|Major concerns: gastric torsion, CHD, elbow dysplasia|Minor concerns: entropion|Occasionally seen: hemangiosarcoma, osteosarcoma, lymphosarcoma, mast cell tumors, cardiomyopathy, SAS, hypothyroidism|Suggested tests: hip, elbow, eye, cardiac, thyroid|Life span: 8–10 years"
94,Tibetan Mastiff,Tibet,"24-26""",80-150 lb, 11–14 years,"As befitting their long past as a solitary sentry, Tibetan Mastiffs are oftentimes independent and strong willed. They can be aloof toward strangers but devoted to their family. Proper socialization is essential so that they will accept strangers and not become overly suspicious. They are gentle and patient with their children, but may assertive with those outside of the family. They are generally good with other dogs. Most Tibetan Mastiffs are good with other animals.","|Major concerns: CHD, elbow dysplasia|Minor concerns: hypothyroidism|Occasionally seen: entropion, seizures, canine inherited demyelinative neuropathy|Suggested tests: hip, thyroid, eye, (elbow)|Life span: 11–14 years"
95,French Bulldog,France,"11-13""",28 lb,11-13 years,"The French Bulldog is a clown in a lapdog. They enjoy playing and entertaining their family, as well as cuddling and snoozing with their favorite person. They are amiable, sweet, companionable, and willing to please.","|Brachycephalic syndrome (stenotic nares, elongated soft palate)|Intervertebral disk disease|CHD (seldom causes symptoms or problems)|Allergies"
96,Great Dane,Germany,"21-35""",110-180 lb, 7–10 years,"The Great Dane is spirited, courageous, friendly, and dependable. He is generally good with children (although his friendly overtures may overwhelm a small child) and usually friendly toward other household dogs and pets, but like all large dogs should be supervised. With training, he makes a pleasant, well-mannered family companion.","|Major concerns: gastric torsion, cardiomyopathy, osteosarcoma|Minor concerns: CHD, CVI (Wobbler’s syndrome), OCD, HOD, hypothyroidism|Occasionally seen: vWD, cataract, entropion|Tests: cardiac, hip, eye, thyroid, cardiac|Life span: 7–10 years|Note: Danes are usually bred within three separate color families: fawn and brindle; harlequin and mantle; and black and blue. Because dogs from the color families are seldom interbred, each color family tends to have different characteristics and health concerns."
